env,pose,frame,gt_class_raw,gt_canon,gt_range_m,bucket,pred_class,pred_conf,match_iou,det_source
env2,pose3,00400,box,box,1.6,TP_wrong_class,microwave,0.267,0.943,fused
env2,pose3,00400,bottle,bottle,0.95,FN,,,,
env2,pose3,00400,trash bin,trash bin,0.77,FN,,,,
env2,pose3,00400,chair1,chair,1.42,TP_correct_class,chair,0.865,0.888,fused
env2,pose3,00400,chair2,chair,3.61,TP_correct_class,chair,0.28,0.788,fused
env2,pose3,00400,potted plant,potted plant,7.38,FN,,,,
env2,pose3,00500,box,box,1.6,FN,,,,
env2,pose3,00500,bottle,bottle,0.95,FN,,,,
env2,pose3,00500,trash bin,trash bin,0.77,FN,,,,
env2,pose3,00500,chair1,chair,1.42,TP_correct_class,chair,0.685,0.89,fused
env2,pose3,00500,chair2,chair,3.61,FN,,,,
env2,pose3,00500,potted plant,potted plant,7.38,FN,,,,
env2,pose3,00600,box,box,1.6,FN,,,,
env2,pose3,00600,bottle,bottle,0.95,FN,,,,
env2,pose3,00600,trash bin,trash bin,0.77,FN,,,,
env2,pose3,00600,chair1,chair,1.42,TP_correct_class,chair,0.844,0.924,fused
env2,pose3,00600,chair2,chair,3.61,FN,,,,
env2,pose3,00600,potted plant,potted plant,7.38,FN,,,,
