env,arm,gt_class,gt_range,det_range,signed_err,abs_err,source
unknown,fused,bottle,1.18,1.397,0.217,0.217,fused
unknown,fused,tv,5.91,5.985,0.075,0.075,fused
unknown,fused,chair,3.8,4.415,0.615,0.615,fused
unknown,fused,trash bin,2.93,3.068,0.138,0.138,fused
unknown,fused,potted plant,7.83,2.218,-5.612,5.612,fused
unknown,fused,chair,1.79,2.077,0.287,0.287,fused
unknown,fused,bottle,1.18,1.391,0.211,0.211,fused
unknown,fused,tv,5.91,5.985,0.075,0.075,fused
unknown,fused,chair,3.8,4.409,0.609,0.609,fused
unknown,fused,potted plant,7.83,2.22,-5.61,5.61,fused
unknown,fused,trash bin,2.93,3.069,0.139,0.139,fused
unknown,fused,chair,1.79,2.084,0.294,0.294,fused
unknown,fused,bottle,1.18,1.387,0.207,0.207,fused
unknown,fused,tv,5.91,5.984,0.074,0.074,fused
unknown,fused,chair,3.8,4.41,0.61,0.61,fused
unknown,fused,potted plant,7.83,2.218,-5.612,5.612,fused
unknown,fused,trash bin,2.93,3.069,0.139,0.139,fused
unknown,fused,chair,1.79,2.083,0.293,0.293,fused
unknown,fused,bottle,1.18,1.389,0.209,0.209,fused
unknown,fused,tv,5.91,5.984,0.074,0.074,fused
unknown,fused,chair,3.8,4.414,0.614,0.614,fused
unknown,fused,potted plant,7.83,2.215,-5.615,5.615,fused
unknown,fused,trash bin,2.93,3.068,0.138,0.138,fused
unknown,fused,chair,1.79,2.081,0.291,0.291,fused
unknown,fused,bottle,1.18,1.395,0.215,0.215,fused
unknown,fused,tv,5.91,5.984,0.074,0.074,fused
unknown,fused,chair,3.8,4.415,0.615,0.615,fused
unknown,fused,trash bin,2.93,3.07,0.14,0.14,fused
unknown,fused,potted plant,7.83,2.214,-5.616,5.616,fused
unknown,fused,chair,1.79,2.082,0.292,0.292,fused
